degree,riskstat,1hop_degree,2hop_degree,1hop_riskstat,2hop_riskstat
-0.5581774,-0.6365982,-0.5558997,0.64716566,-0.6155257,0.9019088
0.22943805,-0.37259445,0.16216809,-0.0847101,0.03958561,0.24283044
0.030851252,-0.064590015,0.23377801,-0.16134332,0.42247593,-0.17859413
-0.23393117,0.6834208,-0.5108748,0.60736626,-0.474804,0.80135494
-0.70515406,-0.6805989,-0.7310933,0.80470407,-0.7819431,1.0004169
-0.5211528,-0.5925976,-0.56459874,0.6564439,-0.6159074,0.91553557
-0.38539568,-0.064590015,-0.5524409,0.6471585,-0.55465764,0.87479395
-0.5121771,0.5954195,-0.598083,0.6966515,-0.58903503,0.91778934
-0.27880955,-0.548597,-0.436915,0.51277536,-0.5025986,0.65697354
-0.42017642,-0.37259445,-0.48180476,0.5568546,-0.5209162,0.66148114
-0.69954425,-0.6805989,-0.7188618,0.7618191,-0.77717286,0.6792688
-0.8117402,-0.76860017,-0.84012276,0.08690183,-0.905015,-1.0834745
-0.5301284,-0.72459954,-0.47486746,0.54092705,-0.5032664,0.5802059
-0.79491085,-0.5925976,-0.8381618,-0.23852159,-0.89833665,-1.2952617
-0.78930104,-0.5925976,-0.83082163,0.33286524,-0.888669,0.29383552
-0.71412975,-0.37259445,-0.7638163,0.78800553,-0.8234759,0.5960171
-0.3910055,0.24341443,-0.697944,0.7907412,-0.5809575,0.876909
-0.39212745,-0.02058938,-0.40572795,0.49625695,-0.36896855,0.66432434
0.33265832,-0.15259127,0.77844507,-0.73956937,0.82575107,-0.7850377
-0.56490916,-0.6365982,-0.581745,0.6341239,-0.6478997,0.57718927
-0.5402261,-0.5925976,-0.5968123,0.68808866,-0.6426206,0.93956447
-0.76573986,-0.548597,-0.8121826,0.6916839,-0.8699697,0.76179224
-0.6131534,-0.6365982,-0.6351168,0.7056146,-0.6909589,0.7848849
-0.67822707,-0.548597,-0.75953275,0.7836982,-0.8194689,0.6029519
-0.1251011,-0.41659507,0.0703255,0.00942287,0.096001506,0.18076445
-0.2552484,-0.19659191,-0.25642982,0.33288294,-0.3236832,0.5097835
-0.62886083,-0.76860017,-0.61926603,0.7090041,-0.6756942,0.9463605
-0.46729872,-0.548597,-0.48688957,0.50785226,-0.5368488,0.27764288
-0.6748612,-0.32859382,-0.7563486,0.79673475,-0.8074479,0.7692471
-0.01963692,0.111412525,0.13900824,-0.06132229,0.2715141,-0.009039565
1.004712,0.7274214,1.1839525,-1.1388038,1.3769668,-1.2028562
-0.44934738,-0.41659507,-0.6046041,0.7016604,-0.62700605,0.948753
-0.321444,0.33141568,-0.5431023,0.64073193,-0.533605,0.8610631
0.62773365,0.9914252,0.59308887,-0.52903134,0.8220303,-0.59856236
-0.055539623,0.24341443,-0.12209492,0.2079274,-0.07992452,0.3751801
-0.26758996,-0.5925976,0.058206957,0.016192697,0.13050616,0.11627131
-0.2552484,-0.15259127,-0.30681866,0.39717993,-0.36674246,0.6796155
-0.58398247,-0.6805989,-0.58913463,0.67994374,-0.65181124,0.948545
-0.5447139,-0.5925976,-0.5796216,0.6691234,-0.64328843,0.9283302
0.12958369,-0.15259127,0.4213192,-0.35285202,0.5870488,-0.3516854
-0.48525006,-0.46059573,-0.5670482,0.6533741,-0.58308816,0.85083437
-0.60081184,-0.72459954,-0.6483697,0.73788035,-0.7116299,0.9906042
-0.65915376,-0.5925976,-0.69612956,0.7808734,-0.7503642,1.0270116
-0.6412024,-0.72459954,-0.6549657,0.74459386,-0.7147147,0.98249054
-0.624373,-0.5925976,-0.64660543,0.69194263,-0.70326614,0.58582306
-0.734325,-0.6805989,-0.7656802,0.7607965,-0.82691044,0.45746088
-0.63895845,-0.6365982,-0.65351355,0.73907787,-0.7149691,0.95475155
0.1262178,0.37541634,0.37744513,-0.32831714,0.5211879,-0.47096303
-0.40783486,0.111412525,-0.42327327,0.51622707,-0.42277673,0.7293723
-0.25188252,-0.46059573,-0.042674113,0.121879704,0.048935257,0.20638834
0.7735884,-0.19659191,1.020099,-0.96972454,0.91581297,-0.7042826
-0.6367146,-0.72459954,-0.65985703,0.70981973,-0.7120752,0.6347824
-0.5996899,-0.50459635,-0.6021217,0.6903579,-0.6482495,0.92982113
-0.5402261,-0.5925976,-0.55303025,0.57713854,-0.61574835,0.27767754
-0.52788454,-0.41659507,-0.6836729,0.75184584,-0.7181174,0.75291574
-0.60642165,-0.6365982,-0.6403228,0.71902716,-0.70183504,0.9623798
-0.38651764,-0.46059573,-0.18305306,0.24174313,-0.20385504,0.2708815
-0.76910573,-0.8126008,-0.7824851,0.7455916,-0.8476132,0.37746856
-0.623251,-0.5925976,-0.6898197,0.7772553,-0.74645257,1.0200422
-0.5626653,-0.548597,-0.59299946,0.6876275,-0.6506664,0.95554906
-0.64008045,-0.2845932,-0.7635733,0.7690947,-0.81310856,0.9655351
-0.514421,-0.46059573,-0.5804673,0.66936773,-0.6392497,0.93047994
-0.08134469,0.15541317,0.07242477,-0.034355655,0.28254923,-0.3495703
-0.7174956,-0.6365982,-0.7714819,0.738563,-0.83657813,0.8278457
-0.6041777,-0.76860017,-0.64731723,0.67873245,-0.7177994,0.5186253
-0.4291521,-0.548597,-0.51363385,0.60572,-0.596413,0.89140266
-0.8005206,-0.8126008,-0.820213,0.533303,-0.88405776,-0.3829611
-0.5121771,-0.548597,-0.5506442,0.60397476,-0.621409,0.56411725
0.19129144,-0.15259127,0.11126285,-0.031165963,0.055359162,0.23485547
1.2178843,1.1674278,1.5731614,-1.5404538,1.6896393,-1.5429015
-0.56939703,-0.5925976,-0.616054,0.7082835,-0.6728639,0.97208846
-0.7455446,-0.8126008,-0.77188474,0.78392357,-0.8352106,0.5825984
-0.7320811,-0.76860017,-0.7394726,0.68171906,-0.7956495,0.012215435
-0.61764127,-0.5925976,-0.6376012,0.7242634,-0.69569737,0.97472364
-0.61427534,-0.76860017,-0.653504,0.70283765,-0.72473216,0.6480277
-0.7320811,-0.15259127,-0.80214685,0.6200995,-0.84793127,-0.085252434
-0.56939703,-0.24059255,-0.70474297,0.7846141,-0.738693,1.014009
-0.021880837,-0.24059255,0.3400865,-0.27025998,0.52462244,-0.29350287
0.024119496,-0.064590015,0.01957632,0.031508338,0.19302796,-0.2079281
-0.44710344,-0.6365982,-0.2550189,0.33986765,-0.2780798,0.562765
0.06338807,-0.6365982,0.2710751,-0.19686559,0.2612422,0.005523403
-0.7444227,-0.8126008,-0.7620095,0.7908185,-0.82077277,0.5954623
-0.76125205,-0.8126008,-0.7694182,0.8224947,-0.833716,0.99171376
-0.61988515,-0.6365982,-0.5417079,0.53824705,-0.57377034,0.14792843
-0.76910573,-0.6365982,-0.82726896,0.3374811,-0.89397985,-0.64280605
-0.65354395,-0.76860017,-0.65139014,0.6990662,-0.71554154,0.6621746
-0.25973624,-0.2845932,-0.31371155,0.40386394,-0.3510325,0.6596781
-0.5368602,-0.46059573,-0.47512758,0.49876732,-0.48803347,0.18575747
1.307641,0.111412525,1.5358312,-1.5018355,1.5991005,-1.4434919
-0.7646179,-0.76860017,-0.8003356,0.7009313,-0.8573445,0.2729619
-0.487494,-0.32859382,-0.5315332,0.62725383,-0.5630214,0.8777065
-0.4381278,-0.2845932,-0.59258837,0.6887326,-0.6375324,0.95013994
-0.4381278,-0.548597,-0.43677163,0.52836156,-0.4908956,0.7906061
-0.41120076,-0.15259127,-0.50896144,0.5990615,-0.48641157,0.79109156
-0.72422737,-0.72459954,-0.7511471,0.74474454,-0.8189601,0.4719198
-0.49198183,-0.24059255,-0.64461464,0.7384575,-0.66160613,0.9742729
-0.3349075,0.111412525,-0.41150746,0.49359527,-0.3843923,0.6632495
0.27431643,0.63942015,0.50560087,-0.4452339,0.74519783,-0.53829944
-0.42017642,-0.46059573,-0.4200073,0.46766502,-0.478016,0.38235757
-0.55593354,-0.46059573,-0.6305675,0.7244639,-0.67489916,0.977983
-0.624373,-0.72459954,-0.6272343,0.68926716,-0.6901003,0.71002436
-0.7511544,-0.6805989,-0.7624612,0.77297354,-0.8219176,0.50014424
-0.5503237,-0.064590015,-0.69960237,0.7923292,-0.7006266,1.007837
-0.5615433,-0.5925976,-0.58000034,0.6201519,-0.58671355,0.407496
-0.6928125,-0.8126008,-0.68361646,0.72818947,-0.7484879,0.62829834
-0.5761287,-0.2845932,-0.6346893,0.7256942,-0.6829768,0.98432827
-0.32817575,-0.15259127,-0.48793954,0.5820721,-0.53789824,0.85839325
-0.7511544,-0.72459954,-0.8214444,0.5912042,-0.87769747,0.6520845
-0.4426156,-0.37259445,-0.58558893,0.6787809,-0.63626033,0.9490997
-0.25188252,-0.46059573,-0.28911346,0.35115048,-0.27435902,0.36262822
-0.8050085,-0.6805989,-0.8357104,-0.028877035,-0.90008575,-1.1127045
-0.63334864,-0.6805989,-0.6717808,0.72548455,-0.7232057,0.6682425
-0.071247056,-0.46059573,0.11886501,-0.041105177,0.13909258,0.13093829
-0.58734834,-0.6365982,-0.5928079,0.6816188,-0.63460666,0.9203552
-0.49646968,-0.19659191,-0.57658976,0.6724487,-0.6148897,0.93377393
-0.57164097,-0.5925976,-0.59908605,0.68877715,-0.65511864,0.94618714
-0.6266169,-0.72459954,-0.6348713,0.66612893,-0.70224845,0.47923598
-0.46729872,-0.5925976,-0.524658,0.576091,-0.5983211,0.546503
-0.6883247,-0.72459954,-0.69916207,0.69187254,-0.7673144,0.18142326
-0.23729704,-0.50459635,-0.37990928,0.47201425,-0.48431268,0.79320663
-0.624373,-0.6805989,-0.6298474,0.69860697,-0.68221354,0.7476454
-0.6647635,-0.72459954,-0.72031784,0.74418837,-0.76629674,0.9050988
-0.266468,-0.02058938,-0.24849904,0.3342547,-0.27846143,0.5652962
-0.3607126,-0.41659507,-0.28314936,0.36935446,-0.3386617,0.62500435
-0.570519,-0.72459954,-0.63347626,0.706083,-0.6968104,0.7905021
-0.70066625,-0.5925976,-0.7009086,0.72929,-0.75624746,0.47434697
-0.43700582,1.1674278,-0.7347393,0.7910406,-0.7034251,0.99105495
-0.53237236,-0.548597,-0.68552536,0.73246986,-0.75173163,0.6559333
-0.03534435,-0.24059255,0.15599906,-0.09074097,0.16291192,0.0036163481
-0.5862264,-0.548597,-0.5955625,0.6846238,-0.65120703,0.93377393
-0.6883247,0.023411253,-0.7906532,0.66413414,-0.8172746,-0.010183798
-0.8050085,-0.72459954,-0.82976025,0.26471627,-0.89614236,-0.82515526
-0.5200308,-0.46059573,-0.46120667,0.5138779,-0.4872066,0.44071347
-0.5851044,-0.72459954,-0.62670135,0.68648756,-0.6932486,0.68519795
-0.7174956,-0.6805989,-0.7336411,0.65597355,-0.76998574,-0.017846694
0.15538874,-0.32859382,0.25666255,-0.18164691,0.20072393,0.074385434
-0.6277389,-0.6365982,-0.617654,0.7083503,-0.67295927,0.95104146
-0.031978473,-0.02058938,0.06963589,-0.0009873618,0.07300901,0.10094552
0.3999759,1.0794265,0.5380866,-0.47438726,0.80291754,-0.58552504
-0.58173853,-0.76860017,-0.58026177,0.6724572,-0.65028477,0.93564636
-0.50544536,-0.46059573,-0.6060176,0.6150984,-0.6193419,0.21776132
-0.26422408,-0.50459635,0.050063007,-0.0076884036,0.062323697,-0.09509978
-0.5009575,-0.50459635,-0.50808847,0.6021844,-0.56979513,0.8809312
-0.707398,-0.50459635,-0.7302368,0.6792683,-0.77707744,0.036903135
-0.5020795,0.55141884,-0.7436198,0.7789769,-0.51290226,0.6529167
-0.49871358,-0.548597,-0.44376922,0.45554626,-0.46256045,0.06259637
-0.15427205,-0.2845932,0.022589143,0.01979576,0.02142694,-0.02921968
-0.49085987,-0.548597,-0.543613,0.6358625,-0.6125682,0.9119295
-0.22158961,0.771422,-0.4921698,0.5899582,-0.44996703,0.78155625
0.31807286,0.63942015,0.5562904,-0.5040824,0.7957304,-0.69072515
-0.5940801,-0.10859065,-0.70269257,0.75182617,-0.73048824,0.6270848
-0.61427534,-0.6805989,-0.6195433,0.6632131,-0.67168725,0.51120514
-0.7825693,-0.6365982,-0.82197225,0.52884567,-0.8866337,-0.3997085
0.617636,-0.064590015,0.8447881,-0.78897655,0.9577274,-0.7489077
-0.45832303,-0.46059573,-0.2586046,0.2999765,-0.260907,0.17795588
-0.7545203,-0.72459954,-0.8193134,0.6374466,-0.88157725,0.22979312
-0.514421,-0.46059573,-0.53497297,0.6029751,-0.57599646,0.6479237
-0.6086656,-0.76860017,-0.60068667,0.69352144,-0.6601115,0.94747007
-0.41344467,-0.5925976,-0.5012178,0.59537786,-0.5605727,0.8683446
-0.7735936,-0.76860017,-0.7957799,0.76384205,-0.859825,0.3891536
-0.54695785,-0.41659507,-0.60718936,0.6505401,-0.6585532,0.5034729
-0.54134804,0.06741189,-0.60191995,0.69132227,-0.61011946,0.90294904
-0.49198183,-0.37259445,-0.4766159,0.4955776,-0.46977937,0.13246395
-0.623251,-0.46059573,-0.6566475,0.70981055,-0.7089904,0.63349944
-0.05778354,-0.5925976,0.07396322,0.00539006,0.12767582,0.14529322
-0.5750068,-0.6805989,-0.626112,0.719719,-0.6867293,0.98273325
-0.349493,-0.02058938,-0.44380283,0.5400486,-0.45887145,0.78554374
-0.8151061,-0.548597,-0.8467321,-2.1839995,-0.9055556,-2.3106472
-0.55481154,-0.6365982,-0.5928561,0.6854538,-0.61326784,0.9099184
-0.37642002,-0.24059255,-0.41863823,0.50929284,-0.45648634,0.7596425
-0.2025163,-0.46059573,-0.13185155,0.21608342,-0.12851724,0.41554034
0.24177961,0.9034239,0.086689524,-0.0065563866,0.13308209,0.14695756
-0.735447,-0.5925976,-0.78146374,0.73879945,-0.8355287,0.3601317
-0.38427374,0.023411253,-0.45898685,0.55109036,-0.4552461,0.76643854
-0.32593185,-0.46059573,-0.45528126,0.50550175,-0.537612,0.48090032
-0.4975916,-0.6365982,-0.57290894,0.65465283,-0.6335572,0.8165421
-0.49871358,-0.41659507,-0.5137969,0.5263386,-0.5752968,0.22511216
-0.7320811,-0.46059573,-0.79948044,0.60875505,-0.84153914,-0.020343203
-0.6075436,-0.5925976,-0.66259766,0.74368787,-0.71051687,0.9824559
-0.60193384,-0.5925976,-0.69176036,0.78498024,-0.7382796,1.0376564
-0.7500324,-0.6805989,-0.7919062,0.74439013,-0.8443059,0.40610906
-0.33939534,-0.41659507,-0.42864165,0.5222927,-0.4575676,0.7799266
-0.46617675,-0.50459635,-0.5752252,0.6689721,-0.60528564,0.91120136
0.46392757,-0.02058938,0.8700009,-0.8150582,0.94497496,-0.73670256
-0.6412024,-0.72459954,-0.6431174,0.69045097,-0.7024075,0.584124
-0.77134967,-0.50459635,-0.827234,0.5166457,-0.8862203,-0.30855128
-0.7163737,-0.72459954,-0.7229094,0.7902525,-0.7910065,0.98342675
0.7388077,0.9474246,1.0098895,-0.96001786,1.2254325,-1.0395429
-0.36968824,-0.5925976,-0.35385585,0.44581604,-0.41663903,0.7274306
-0.707398,-0.50459635,-0.7355748,0.76596135,-0.7718302,0.5336391
-0.7174956,-0.50459635,-0.7667917,0.8017928,-0.82687867,0.6635615
-0.3461271,0.111412525,-0.3928589,0.4807081,-0.36636084,0.6599208
0.08582726,0.37541634,-0.11208961,0.18238954,-0.15351324,0.3082598
-0.48300615,-0.2845932,-0.62064654,0.69957393,-0.646087,0.80558515
-0.55144566,-0.5925976,-0.61221963,0.7036506,-0.6664082,0.9620677
0.07685159,0.28741506,0.15688787,-0.13101536,0.37289736,-0.55428404
-0.7309591,-0.6805989,-0.7786146,0.67472976,-0.8499665,0.04838014
-0.49646968,-0.24059255,-0.49951565,0.5903513,-0.53742117,0.83810914
-0.71861756,-0.76860017,-0.7506827,0.76740384,-0.8083066,0.6196993
-0.6187632,-0.6805989,-0.70440996,0.78026223,-0.7637844,1.0001742
-0.6894466,-0.548597,-0.7080077,0.69727516,-0.7648657,0.19973099
-0.64008045,-0.6805989,-0.64241195,0.72766536,-0.6991319,0.9539541
-0.70964193,-0.24059255,-0.78107107,0.8309573,-0.826338,0.974897
-0.6355926,-0.5925976,-0.65919405,0.7454553,-0.72008914,0.9937248
-0.19802846,-0.37259445,-0.472038,0.56729496,-0.5286122,0.85194397
-0.487494,-0.064590015,-0.68950254,0.7890989,-0.7149055,1.0414013
-0.24627273,-0.37259445,-0.06750628,0.13160601,0.02355764,0.073553264
-0.57837266,-0.6805989,-0.60973275,0.69782346,-0.6813867,0.96303856
-0.5806166,-0.6805989,-0.6189463,0.7026287,-0.6806235,0.9362705
-0.37642002,0.023411253,-0.21669024,0.25956193,-0.1342733,0.047825363
-0.7118858,0.28741506,-0.8047131,0.6266177,-0.833716,-0.0009952587
-0.5402261,-0.6365982,-0.55863845,0.6531383,-0.61349046,0.91754663
-0.4785183,-0.6365982,-0.48860568,0.56768996,-0.541778,0.70645297
-0.46393284,-0.5925976,-0.49808696,0.59063494,-0.54689807,0.8517012
0.9474921,0.5074182,1.2915787,-1.2501155,1.3290418,-1.150915
0.25187725,0.06741189,0.3571541,-0.30162433,0.4488394,-0.34551346
-0.38427374,-0.2845932,-0.49554804,0.55466586,-0.566774,0.5791657
0.83080834,1.4314315,1.009753,-0.9591649,1.2453085,-1.0594803
-0.707398,-0.8126008,-0.69417435,0.77207214,-0.7554206,0.97084016
-0.42578623,-0.10859065,-0.6140264,0.7099173,-0.6238895,0.9407781
-0.6097875,-0.6805989,-0.6018679,0.693319,-0.65391016,0.9284689
1.1831036,0.41941696,1.3866543,-1.3478234,1.3444338,-1.1663448
-0.5895923,-0.6805989,-0.5889678,0.6077744,-0.6357833,0.26034066
-0.5536896,-0.15259127,-0.724432,0.8038623,-0.7503642,1.0405344
-0.39998117,-0.2845932,-0.45270237,0.545689,-0.5019943,0.81758225
-0.34724906,-0.37259445,-0.4807967,0.5755132,-0.5585374,0.8726095
-0.48637202,-0.37259445,-0.45438355,0.5484149,-0.45009425,0.762243
-0.6277389,-0.6805989,-0.6197939,0.7092773,-0.67737967,0.94778216
-0.05666158,-0.2845932,-0.285635,0.36103138,-0.32508245,0.5020166
-0.5581774,-0.5925976,-0.57057744,0.665162,-0.63015443,0.9338433
-0.762374,-0.32859382,-0.82751065,0.64889973,-0.8781745,0.7442126
-0.2530045,-0.50459635,-0.40230975,0.4941757,-0.41873795,0.7365151
-0.763496,-0.76860017,-0.8138378,0.6102769,-0.88259494,0.59386736
-0.71973956,-0.76860017,-0.7243584,0.74316704,-0.7888122,0.56855553
-0.017393,-0.15259127,-0.02189077,0.10318702,-0.015494629,0.29993808
-0.5536896,-0.37259445,-0.5620008,0.65523523,-0.59682643,0.9081154
-0.5009575,-0.19659191,-0.6317627,0.6692754,-0.6617969,0.47968674
-0.5256406,-0.5925976,-0.5515641,0.64585024,-0.6252888,0.9319016
-0.6513,0.023411253,-0.74349797,0.67502457,-0.7905295,0.28759426
-0.03646631,-0.24059255,-0.13881676,0.22558896,-0.1738662,0.47531784
-0.7029102,-0.8126008,-0.7568016,0.8161677,-0.826338,1.0045431
-0.41344467,-0.41659507,-0.48040336,0.5740988,-0.5202166,0.8324226
-0.21822374,0.63942015,-0.4645037,0.5610492,-0.43094972,0.75041926
-0.75676423,-0.72459954,-0.7810285,0.8058695,-0.84335184,0.95118016
-0.6456902,-0.50459635,-0.67299193,0.7522422,-0.72276044,0.9534686
-0.2911511,-0.548597,-0.1536785,0.23906377,-0.16388053,0.4501794
-0.57837266,-0.6805989,-0.58779156,0.6190205,-0.64926714,0.37441728
-0.27993152,-0.064590015,-0.46477652,0.56059784,-0.48727024,0.80759627
-0.6322267,-0.50459635,-0.74587446,0.74131376,-0.80029255,0.4884245
-0.7309591,-0.8126008,-0.74179965,0.7002434,-0.8052536,0.024143199
-0.679349,-0.5925976,-0.6975735,0.75831103,-0.7631166,0.7874855
-0.75227636,-0.46059573,-0.8142413,0.5864305,-0.8591572,-0.11469044
-0.36407846,-0.548597,-0.19581807,0.23618329,-0.1738344,0.051743492
-0.4785183,-0.46059573,-0.41591787,0.5026108,-0.45794922,0.7444207
-0.52676255,-0.46059573,-0.61544055,0.70892155,-0.64923537,0.9572134
-0.459445,-0.548597,-0.5585014,0.56820095,-0.60732096,0.17715839
-0.4975916,-0.37259445,-0.569242,0.66491437,-0.6062397,0.9190723
-0.5615433,-0.72459954,-0.521033,0.60589683,-0.5776819,0.8481992
-0.30349264,0.19941379,-0.3234542,0.41498104,-0.3096269,0.6194912
-0.6165193,-0.72459954,-0.6584448,0.7499526,-0.7089586,0.9850217
0.45495188,0.5954195,0.7680648,-0.72094613,0.9816739,-0.87962765
-0.595202,-0.6365982,-0.5208611,0.4860059,-0.56162214,-0.076514654
-0.34163928,-0.5925976,-0.44827354,0.54161036,-0.5359901,0.8450785
-0.50881124,-0.548597,-0.4819602,0.57139,-0.5388523,0.8268055
-0.50881124,-0.24059255,-0.6494717,0.741997,-0.6894643,0.9809302
0.92393094,0.28741506,1.2747787,-1.2331071,1.4207257,-1.2535145
-0.5794946,-0.32859382,-0.58896464,0.58958286,-0.608275,0.15579936
-0.67822707,-0.6365982,-0.7021248,0.77730966,-0.7648021,0.99133235
-0.5884703,-0.6365982,-0.57309353,0.66391075,-0.6314901,0.9091209
0.021875577,0.9034239,-0.010154142,0.092466265,0.4804501,-0.24007066
-0.68159294,-0.6805989,-0.67819667,0.7618538,-0.73726195,0.9788498
-0.4381278,-0.064590015,-0.5450151,0.6255499,-0.56384826,0.7395317
-0.45607913,-0.6805989,-0.5086258,0.5982197,-0.5773957,0.8762502
-0.1194913,-0.5925976,0.030629685,0.050098177,0.012967734,0.26755282
-0.5761287,-0.46059573,-0.6863203,0.7738114,-0.7261632,0.99476504
